time_s,qlen_pkts
0.000000,0
0.014796,0
0.029708,2
0.044767,0
0.059633,3
0.074219,6
0.089208,3
0.104314,8
0.119146,15
0.134101,18
0.148602,18
0.163520,22
0.178557,25
0.193204,31
0.207521,33
0.222046,38
0.236874,42
0.251263,46
0.265660,53
0.280337,57
0.295408,59
0.310137,66
0.324802,70
0.339985,73
0.354509,77
0.369112,81
0.384404,85
0.398907,89
0.413763,93
0.428788,96
0.443652,99
0.458503,99
0.472769,99
0.487475,99
0.501699,99
0.516162,99
0.530478,99
0.544550,100
0.558862,100
0.573980,100
0.589497,99
0.604194,99
0.618792,99
0.633469,100
0.648217,100
0.663311,100
0.677717,100
0.691962,100
0.706739,100
0.721757,100
0.736133,99
0.750436,100
0.764683,99
0.779743,99
0.794432,100
0.809701,100
0.824050,100
0.838974,99
0.853497,99
0.868235,98
0.882962,97
0.897145,98
0.911597,98
0.926133,99
0.940431,98
0.955128,99
0.969484,97
0.984607,98
0.999111,97
1.013505,97
1.028472,98
1.043673,98
1.058218,98
1.072315,100
1.086478,99
1.101120,100
1.115493,100
1.129690,99
1.144169,100
1.158473,100
1.173383,99
1.187936,99
1.202637,99
1.217295,99
1.231775,98
1.246293,99
1.260777,99
1.274730,99
1.289036,98
1.303778,98
1.317885,99
1.332519,98
1.347022,98
1.361984,99
1.376091,100
1.390578,100
1.404838,99
1.419285,100
1.433871,98
1.448397,99
1.462581,100
1.476957,98
1.491385,99
1.505501,94
1.520171,96
1.534788,97
1.549189,97
1.563845,96
1.578398,94
1.592745,90
1.607345,90
1.622468,91
1.636723,94
1.650944,94
1.665346,95
1.679711,93
1.694526,94
1.708614,91
1.723439,92
1.737863,93
1.752610,95
1.767117,91
1.781615,89
1.796026,87
1.810475,85
1.825068,89
1.839373,89
1.854561,88
1.868716,88
1.883580,87
1.897854,85
1.912135,85
1.926417,85
1.941144,84
1.955146,85
1.969479,86
1.984037,86
1.998651,85
2.013229,83
2.027776,84
2.042930,80
2.057833,77
2.072803,77
2.087707,78
2.102631,76
2.117085,77
2.132153,77
2.146438,76
2.161542,75
2.176332,75
2.190977,73
2.205938,72
2.220389,73
2.235403,73
2.250026,75
2.265128,75
2.279786,75
2.294699,75
2.309189,73
2.323795,73
2.337739,73
2.352031,73
2.366597,73
2.381416,73
2.396018,74
2.410654,74
2.425133,73
2.440583,74
2.454813,74
2.469597,75
2.484539,74
2.498783,74
2.512763,74
2.527745,75
2.542087,75
2.556548,74
2.571330,74
2.585889,74
2.600775,72
2.615311,74
2.629538,74
2.644259,74
2.658685,74
2.673061,74
2.687609,74
2.701991,72
2.716169,72
2.730365,73
2.744918,74
2.759029,74
2.773618,74
2.788652,74
2.802858,74
2.816997,74
2.831964,75
2.846279,75
2.860430,76
2.874907,75
2.889323,76
2.903963,75
2.918129,74
2.932475,74
2.947097,74
2.961775,76
2.976724,74
2.991441,75
3.005562,75
3.019804,75
3.034130,75
3.048509,75
3.062740,75
3.077273,75
3.091692,75
3.105873,74
3.120625,74
3.135302,76
3.149896,74
3.164202,75
3.178808,75
3.193528,76
3.208167,76
3.222291,74
3.236413,76
3.250642,76
3.264874,75
3.279053,75
3.293574,75
3.307775,74
3.322343,74
3.336668,75
3.351411,76
3.365762,75
3.380732,75
3.395226,76
3.409319,76
3.423503,75
3.437943,76
3.452633,77
3.467399,77
3.482186,76
3.496801,76
3.512041,75
3.526371,76
3.540631,76
3.555094,77
3.569454,77
3.584156,76
3.598300,77
3.612485,77
3.626911,76
3.641377,76
3.656163,76
3.670447,77
3.684838,77
3.699256,77
3.713655,76
3.728264,76
3.742834,77
3.757415,78
3.771455,78
3.785892,76
3.800356,76
3.814696,76
3.829091,76
3.843457,77
3.857717,76
3.872262,76
3.886781,76
3.901109,76
3.915615,75
3.930212,76
3.944960,77
3.959755,77
3.974211,77
3.989481,78
4.003911,79
4.018615,78
4.033132,78
4.047813,79
4.062677,78
4.076958,78
4.091498,79
4.106124,78
4.120310,76
4.134521,76
4.149296,78
4.163501,78
4.178209,78
4.192351,78
4.206862,78
4.221031,77
4.235678,77
4.249640,78
4.264378,78
4.278805,78
4.292935,78
4.307488,79
4.321940,78
4.336820,77
4.351313,78
4.366525,78
4.380584,78
4.395247,78
4.409413,78
4.424089,77
4.438607,77
4.453051,79
4.467843,78
4.482354,79
4.497182,78
4.511893,79
4.526692,77
4.541485,79
4.556288,78
4.571047,78
4.585624,78
4.600304,78
4.614534,78
4.628739,78
4.643015,79
4.657858,80
4.672127,80
4.686671,80
4.700851,80
4.715580,80
4.729939,78
4.744192,79
4.758787,79
4.773266,79
4.787828,80
4.803087,81
4.817316,80
4.832678,79
4.847383,79
4.862132,81
4.876750,81
4.891554,81
4.905909,81
4.920862,81
4.935030,80
4.950011,81
4.964344,80
4.979219,81
4.993709,80
5.008306,81
5.022986,80
5.037598,79
5.051731,80
5.066227,79
5.080295,80
5.094740,80
5.109535,79
5.124037,81
5.138344,79
5.153461,81
5.168667,81
5.182837,82
5.197452,82
5.212074,82
5.226797,82
5.241292,81
5.256276,82
5.270377,82
5.284918,82
5.299617,82
5.314430,82
5.329597,82
5.344010,82
5.358612,82
5.373111,81
5.387754,82
5.402187,81
5.416989,83
5.431094,82
5.445740,83
5.461037,83
5.475155,83
5.489273,82
5.503922,82
5.518457,82
5.533154,82
5.547548,81
5.561887,82
5.576476,81
5.590950,83
5.604923,82
5.619091,81
5.633629,81
5.647822,81
5.662113,82
5.676828,81
5.691429,81
5.706318,81
5.720672,81
5.735153,81
5.750379,81
5.765072,82
5.779630,82
5.794241,81
5.808683,81
5.823147,82
5.837318,82
5.851627,82
5.866696,82
5.881028,82
5.895178,82
5.909768,83
5.924925,82
5.939712,83
5.954153,82
5.968819,83
5.983309,83
5.997832,82
6.012339,82
6.026825,81
6.041401,83
6.056287,82
6.070506,82
6.084765,83
6.099170,82
6.113810,83
6.128037,83
6.142624,83
6.157458,82
6.172065,82
6.186328,82
6.201367,82
6.215856,82
6.230521,82
6.245305,81
6.259910,82
6.274766,82
6.288920,82
6.303664,82
6.318489,83
6.333222,84
6.348470,83
6.363139,84
6.377283,84
6.391983,84
6.406605,83
6.420962,84
6.435894,84
6.450159,83
6.464314,83
6.478737,84
6.493259,84
6.507711,84
6.522378,84
6.537816,84
6.552889,85
6.567785,84
6.581846,84
6.595917,84
6.610344,84
6.624672,84
6.638974,84
6.653955,84
6.668484,84
6.683137,84
6.697836,85
6.712823,85
6.727851,84
6.742914,84
6.757105,84
6.771550,85
6.786748,84
6.801699,84
6.816554,84
6.830801,84
6.845603,85
6.861370,85
6.876480,85
6.891141,85
6.905427,85
6.919887,85
6.934039,85
6.949259,85
6.964450,85
6.978738,85
6.992760,84
7.006886,84
7.021513,85
7.036059,85
7.050500,85
7.065178,85
7.079535,86
7.094092,86
7.108765,85
7.123092,86
7.136995,85
7.151741,85
7.166215,86
7.180700,85
7.194922,85
7.209385,86
7.224177,85
7.238541,84
7.252950,85
7.267485,85
7.281920,84
7.296363,86
7.311011,86
7.325399,85
7.339813,86
7.354451,86
7.368683,85
7.383265,85
7.397747,85
7.412220,86
7.427418,86
7.441935,85
7.456688,86
7.471652,85
7.485916,86
7.500015,86
7.514523,86
7.528752,87
7.543191,86
7.558573,86
7.573373,87
7.588029,87
7.602431,86
7.616923,86
7.631485,87
7.645652,87
7.659685,87
7.674841,87
7.689824,86
7.704352,86
7.718936,86
7.733177,86
7.747758,86
7.762181,87
7.777166,87
7.791949,87
7.805956,86
7.820216,86
7.834698,86
7.848946,86
7.863245,87
7.877525,86
7.891694,87
7.906098,87
7.920590,87
7.934779,86
7.948829,86
7.963428,87
7.977815,86
7.992880,86
8.006992,87
8.021895,88
8.036268,87
8.050516,87
8.065090,89
8.079679,88
8.094104,87
8.108453,87
8.123159,87
8.137599,87
8.151961,88
8.165963,89
8.180463,87
8.195443,87
8.209768,87
8.224467,87
8.238655,87
8.253433,87
8.267710,88
8.282061,87
8.296462,87
8.311714,88
8.326194,88
8.340649,87
8.355339,87
8.369607,88
8.384109,87
8.398422,88
8.413586,87
8.427965,88
8.442573,88
8.456817,88
8.471206,89
8.485847,88
8.500507,88
8.514906,88
8.529284,88
8.544658,89
8.558810,89
8.573645,89
8.587679,88
8.601769,88
8.616306,88
8.630356,88
8.645030,88
8.659434,89
8.673797,91
8.688605,89
8.703268,89
8.717662,88
8.732413,88
8.747128,88
8.761781,88
8.776941,88
8.791417,89
8.805975,88
8.820461,89
8.835560,89
8.850715,89
8.865373,90
8.880353,89
8.895103,89
8.909887,89
8.925219,90
8.939761,91
8.954218,91
8.969274,90
8.983772,91
8.998735,90
9.013046,90
9.027693,90
9.042534,90
9.056948,90
9.071785,92
9.087242,90
9.102338,89
9.117424,89
9.132500,89
9.148050,89
9.163144,89
9.177732,90
9.192478,89
9.207522,89
9.221940,89
9.236504,89
9.251542,89
9.266580,90
9.281089,90
9.295737,89
9.310594,90
9.325080,91
9.339312,91
9.353940,90
9.368473,90
9.383013,91
9.397719,91
9.412220,90
9.426289,90
9.440670,90
9.454974,91
9.469210,91
9.484228,92
9.498310,91
9.513321,89
9.527786,89
9.542318,90
9.556705,90
9.570931,90
9.585801,91
9.600713,90
9.615230,90
9.629813,90
9.644326,90
9.658863,90
9.673275,90
9.687845,90
9.702413,90
9.717657,91
9.732480,91
9.747045,91
9.761333,91
9.776177,91
9.790792,92
9.804856,91
9.819579,92
9.833769,91
9.848290,91
9.863172,92
9.878220,93
9.892510,92
9.907001,92
9.921465,91
9.936197,92
9.950672,91
9.964888,91
9.979019,92
9.993432,91
10.008017,91
10.022206,92
10.036606,91
10.050914,91
10.065284,91
10.079590,92
10.093889,91
10.108593,91
10.122868,91
10.137006,91
10.151922,91
10.166322,91
10.180982,92
10.195786,91
10.210296,91
10.224999,91
10.239665,91
10.253928,91
10.268790,91
10.283529,93
10.297754,92
10.313450,92
10.327602,92
10.341889,93
10.356500,92
10.371171,93
10.386122,94
10.400566,92
10.414757,92
10.428818,92
10.443046,92
10.457684,92
10.472366,93
10.486704,93
10.501394,92
10.516710,92
10.531743,92
10.546148,92
10.560797,92
10.574880,92
10.589612,93
10.604490,92
10.619232,92
10.633638,92
10.648099,92
10.662418,92
10.676752,92
10.691542,93
10.706215,92
10.721118,92
10.736012,93
10.750602,92
10.765155,93
10.780070,94
10.794774,95
10.809265,94
10.824075,94
10.838807,94
10.853087,94
10.867570,94
10.882002,93
10.896564,94
10.911258,94
10.925626,95
10.939898,95
10.954620,95
10.968824,95
10.983527,95
10.997791,94
11.012377,94
11.026809,93
11.041674,93
11.056266,93
11.070608,93
11.085196,94
11.100115,95
11.114444,94
11.129405,94
11.143652,94
11.158324,94
11.172771,94
11.187155,95
11.201849,96
11.216303,95
11.230472,94
11.245190,94
11.259595,95
11.274122,94
11.288471,95
11.303178,95
11.317737,94
