time_s,rtt_ms
0.000000,41.500
0.100941,41.600
0.201506,144.000
0.403239,197.000
0.504133,167.000
0.706787,96.800
0.807318,88.100
0.908241,104.000
1.008770,109.000
1.109225,133.000
1.209737,134.000
1.310495,96.200
1.411547,92.900
1.512440,60.100
1.613481,49.800
1.714371,53.000
1.815202,53.500
1.916024,56.900
2.016643,58.000
2.117591,62.500
2.218356,62.600
2.319361,65.400
2.420113,69.200
2.521000,68.700
2.621538,71.100
2.722255,73.200
2.822672,75.200
2.922922,75.900
3.023359,77.200
3.123874,79.400
3.224210,79.900
3.324884,81.000
3.425605,85.700
3.526234,84.500
3.626877,87.000
3.727770,87.900
3.828426,90.700
3.928831,92.400
4.029714,90.400
4.130321,94.100
4.230769,94.100
4.331522,94.500
4.432196,98.300
4.532755,97.100
4.633260,102.000
4.733697,101.000
4.834201,103.000
4.935003,104.000
5.035848,103.000
5.136573,105.000
5.237124,107.000
5.338066,108.000
5.438633,107.000
5.539511,111.000
5.640253,112.000
5.740615,112.000
5.841821,113.000
5.942442,116.000
6.042949,116.000
6.143844,118.000
6.244179,117.000
6.344862,119.000
6.445598,120.000
6.546571,121.000
6.646908,123.000
6.747979,121.000
6.848894,124.000
6.949630,123.000
7.050269,126.000
7.150889,127.000
7.251711,128.000
7.352464,128.000
7.453383,129.000
7.553793,131.000
7.654519,131.000
7.755229,133.000
7.856171,133.000
7.956612,130.000
8.058169,97.200
8.158662,66.100
8.259322,69.600
8.360162,72.500
8.460941,72.300
8.561302,73.800
8.661809,76.900
8.762277,75.900
8.862803,79.700
8.963203,81.200
9.063779,81.300
9.164638,84.400
9.265390,84.800
9.365855,87.100
9.466186,87.900
9.566578,90.400
9.667425,90.200
9.768292,91.600
9.869106,92.600
9.969667,93.600
10.070417,95.900
10.171174,96.300
10.272195,97.500
10.372839,102.000
10.473572,100.000
10.574345,103.000
10.675018,104.000
10.776354,107.000
10.876929,106.000
10.977498,106.000
11.078213,108.000
11.178604,109.000
11.279100,109.000
11.379537,111.000
11.480246,112.000
11.580852,113.000
11.681476,114.000
11.782280,115.000
11.883018,119.000
11.983972,117.000
12.084949,119.000
12.185508,121.000
12.286139,119.000
12.387906,121.000
12.488350,123.000
12.589283,123.000
12.689912,124.000
12.791341,125.000
12.892190,127.000
12.993022,127.000
13.093543,129.000
13.194722,129.000
13.295198,132.000
13.395900,133.000
13.496883,132.000
13.698400,135.000
13.798840,133.000
13.899336,133.000
14.000129,98.700
14.100810,68.300
14.201377,70.500
14.301886,73.500
14.402675,73.700
14.503254,75.500
14.603969,77.800
14.704516,79.500
14.805352,79.500
14.906458,83.300
15.007193,84.500
15.108225,86.500
15.209021,84.900
15.309840,86.900
15.410297,88.600
15.510756,92.000
15.611168,92.200
15.712354,93.200
15.813204,94.900
15.913643,96.900
16.014426,94.600
16.114927,98.500
16.215892,97.300
16.316892,101.000
16.417549,101.000
16.518705,104.000
16.619325,104.000
16.719918,104.000
16.820827,106.000
16.922264,106.000
17.022727,110.000
17.123512,110.000
17.224007,112.000
17.324855,112.000
17.425170,114.000
17.525699,114.000
17.626691,116.000
17.727837,118.000
17.828250,116.000
17.928726,118.000
18.029912,117.000
18.130437,123.000
18.231728,121.000
18.332643,122.000
18.433877,124.000
18.534596,122.000
18.635713,125.000
18.736598,126.000
18.837014,127.000
18.937545,127.000
19.038005,129.000
19.138698,130.000
19.339698,133.000
19.440427,133.000
19.541308,131.000
19.641969,97.200
19.742992,65.900
19.843431,67.800
19.943921,68.500
20.044494,73.700
20.145586,75.900
20.246007,77.100
20.346839,77.300
20.447713,80.400
20.548573,81.200
20.649363,80.100
20.750179,83.800
20.850846,85.700
20.951713,87.200
21.052379,88.700
21.153487,88.200
21.253982,89.600
21.355111,91.900
21.456101,92.600
21.557263,94.700
21.657775,97.200
21.759158,97.900
21.860202,99.300
21.961395,101.000
22.062093,99.500
22.162882,101.000
22.263861,103.000
22.364460,106.000
22.465596,107.000
22.566640,107.000
22.667565,108.000
22.768410,108.000
22.870797,111.000
22.971524,110.000
23.072266,110.000
23.172769,113.000
23.273283,114.000
23.374132,118.000
23.474587,117.000
23.575354,118.000
23.676281,117.000
23.776709,118.000
23.877298,122.000
23.977959,120.000
24.078812,125.000
24.180156,123.000
24.280783,124.000
24.381887,126.000
24.482373,127.000
24.582909,126.000
24.683917,129.000
24.784667,133.000
24.885435,130.000
24.986074,131.000
25.086567,130.000
25.186953,132.000
25.287791,103.000
25.388296,65.800
25.488924,68.400
25.589413,71.200
25.689931,72.300
25.790540,75.100
25.891182,75.800
25.991835,78.000
26.092587,77.600
26.193384,80.100
26.294030,82.200
26.395219,84.400
26.495771,84.600
26.596634,86.100
26.697269,89.600
26.798113,88.000
26.898770,90.900
26.999334,89.700
27.100045,91.700
27.200828,94.300
27.301379,95.900
27.401737,99.100
27.502677,97.000
27.603190,98.700
27.703741,103.000
27.804326,104.000
27.904851,102.000
28.006171,104.000
28.106924,106.000
28.207368,107.000
28.308276,107.000
28.409024,110.000
28.509461,109.000
28.610522,110.000
28.711752,112.000
28.812419,111.000
28.913047,114.000
29.013916,116.000
29.114486,117.000
29.215936,117.000
29.316540,118.000
29.417300,121.000
29.518034,120.000
29.618701,121.000
29.719100,123.000
29.819795,126.000
29.920267,125.000
30.020929,125.000
30.121439,128.000
30.222024,127.000
30.323008,129.000
30.424006,130.000
30.524800,130.000
30.625451,132.000
30.726199,132.000
30.827111,132.000
30.927721,131.000
31.028373,97.000
31.129097,65.800
31.229719,67.800
31.330530,71.400
31.431113,71.900
31.531795,72.100
31.632378,74.000
31.733253,75.100
31.833737,79.600
31.934507,79.700
32.035285,82.400
32.135923,84.000
32.236460,85.000
32.337238,86.900
32.438241,87.500
32.539391,88.900
32.640382,92.000
32.741832,91.400
32.842364,92.200
32.943002,96.400
33.043826,95.800
33.144244,97.500
33.244936,97.900
33.345901,98.400
33.446840,100.000
33.547852,104.000
33.648583,104.000
33.749250,105.000
33.849671,106.000
33.950295,106.000
34.050959,107.000
34.151594,111.000
34.252003,111.000
34.352664,112.000
34.453032,114.000
34.553630,114.000
34.654437,116.000
34.754865,115.000
34.855372,118.000
34.955985,118.000
35.056900,118.000
35.157839,120.000
35.259105,121.000
35.360218,122.000
35.460764,123.000
35.561258,123.000
35.662000,124.000
35.762572,126.000
35.863142,126.000
35.963977,129.000
36.064656,127.000
36.165394,128.000
36.265830,131.000
36.366749,132.000
36.467625,131.000
36.568351,133.000
36.668957,133.000
36.769816,98.000
36.870576,66.800
36.971535,67.700
