time_s,qlen_pkts
0.000000,0
0.015966,1
0.030254,2
0.045087,0
0.059982,2
0.074287,8
0.088425,3
0.102699,8
0.117275,15
0.131853,17
0.146620,18
0.161034,20
0.176214,25
0.191234,31
0.206079,33
0.220564,38
0.235334,42
0.250208,48
0.264522,49
0.279189,49
0.293206,49
0.307537,49
0.322079,49
0.336201,48
0.350822,49
0.365929,50
0.380265,49
0.394844,49
0.409132,49
0.423302,49
0.437649,49
0.451962,49
0.466724,49
0.481118,49
0.495150,49
0.510144,50
0.524612,49
0.538913,50
0.553056,49
0.567300,49
0.581955,49
0.596494,50
0.610809,49
0.625378,49
0.639735,48
0.654596,49
0.668812,49
0.683069,48
0.697779,47
0.712361,47
0.727571,49
0.742346,47
0.756737,50
0.771189,50
0.785470,49
0.799994,48
0.815225,49
0.829570,49
0.844038,49
0.858188,49
0.872683,48
0.887145,45
0.901383,46
0.915442,48
0.930256,48
0.944796,48
0.959405,45
0.973983,44
0.988500,43
1.003142,41
1.017299,41
1.031796,38
1.046483,40
1.061242,38
1.075918,50
1.090147,49
1.104410,49
1.118559,49
1.132982,49
1.147414,49
1.161928,49
1.176156,50
1.190787,50
1.204856,49
1.219090,49
1.233434,48
1.247485,47
1.262067,47
1.276387,48
1.291030,46
1.305528,46
1.320411,48
1.334872,48
1.349064,43
1.363560,38
1.378178,37
1.392527,38
1.406781,34
1.421055,35
1.435498,35
1.449917,35
1.464332,34
1.478643,32
1.493263,32
1.508073,32
1.522609,34
1.537066,28
1.551423,22
1.565665,15
1.580183,13
1.594772,13
1.610248,13
1.625074,14
1.639212,16
1.653266,16
1.668211,14
1.682865,15
1.697353,14
1.711550,14
1.726231,15
1.740568,16
1.754916,17
1.769007,15
1.783747,16
1.798147,15
1.813120,15
1.827425,17
1.841750,17
1.855898,17
1.870656,17
1.884948,17
1.899416,16
1.913865,16
1.928319,17
1.942462,17
1.956753,17
1.971294,17
1.985573,18
1.999570,17
2.013951,18
2.028177,19
2.042680,18
2.056968,18
2.071703,18
2.086978,19
2.101703,19
2.115814,18
2.130597,20
2.145323,20
2.159432,20
2.174092,19
2.188189,19
2.202328,19
2.216735,19
2.231150,20
2.245460,20
2.260225,20
2.274523,19
2.289067,19
2.303526,20
2.317873,21
2.332489,22
2.347411,21
2.361956,21
2.376972,21
2.391588,22
2.405973,22
2.420304,21
2.434813,21
2.449278,21
2.463513,22
2.477524,23
2.491833,22
2.506871,21
2.520959,22
2.535518,24
2.550099,24
2.564333,23
2.579043,24
2.594408,22
2.608995,23
2.623381,22
2.637533,23
2.651925,23
2.666534,23
2.681483,23
2.695818,23
2.710319,23
2.724619,23
2.739666,25
2.754870,24
2.769114,24
2.783656,24
2.797727,25
2.812138,24
2.826420,24
2.841071,25
2.855732,25
2.870489,25
2.884887,23
2.899350,24
2.913843,25
2.928418,25
2.942970,25
2.957214,26
2.971761,26
2.986007,25
3.000385,24
3.014703,24
3.029367,25
3.043897,26
3.058267,26
3.072735,26
3.087200,27
3.101598,25
3.116341,25
3.131010,26
3.145534,26
3.159925,26
3.174274,27
3.188845,27
3.203307,26
3.217570,26
3.232242,28
