time_s,cwnd_kb
0.000000,5.117
0.021261,5.117
0.041337,5.117
0.061071,14.141
0.080633,26.867
0.100392,48.078
0.119879,70.703
0.139471,93.328
0.159728,62.219
0.179788,46.664
0.199284,46.664
0.219082,46.664
0.238916,46.664
0.258397,45.250
0.278147,41.008
0.298192,39.594
0.318134,29.695
0.338049,22.625
0.357666,24.039
0.378015,25.453
0.398455,25.453
0.418455,26.867
0.439564,28.281
0.459016,29.695
0.478943,31.109
0.498075,31.109
0.517253,32.523
0.536422,33.938
0.555873,33.938
0.575512,35.352
0.595156,36.766
0.614576,36.766
0.633986,38.180
0.653605,39.594
0.673306,39.594
0.692401,41.008
0.711909,41.008
0.731464,42.422
0.750739,42.422
0.771094,43.836
0.790806,43.836
0.810922,45.250
0.830290,45.250
0.849552,41.008
0.869493,31.109
0.888559,22.625
0.907782,22.625
0.926736,24.039
0.946435,25.453
0.965507,26.867
0.984153,28.281
1.003319,29.695
1.023490,29.695
1.043357,31.109
1.062656,32.523
1.082757,32.523
1.102200,33.938
1.121706,35.352
1.140691,35.352
1.160576,36.766
1.179527,38.180
1.198354,38.180
1.218103,39.594
1.237586,39.594
1.256888,41.008
1.276155,42.422
1.295315,42.422
1.314838,43.836
1.334250,43.836
1.353636,45.250
1.372789,33.938
1.391578,22.625
1.412027,22.625
1.431128,24.039
1.450615,25.453
1.470114,26.867
1.489455,28.281
1.508420,28.281
1.527788,29.695
1.547153,31.109
1.566109,32.523
1.585705,32.523
1.604866,33.938
1.624194,35.352
1.643690,35.352
1.663370,36.766
1.683112,38.180
1.702955,38.180
1.722880,39.594
1.742065,39.594
1.761662,41.008
1.780590,41.008
1.799629,42.422
1.819337,43.836
1.839238,43.836
1.858450,45.250
1.878505,45.250
1.898351,46.664
1.918273,46.664
1.937892,48.078
1.957325,41.008
1.976512,31.109
1.995474,24.039
2.015071,24.039
2.034444,25.453
2.053352,26.867
2.072327,28.281
2.091067,29.695
2.110825,29.695
2.130902,31.109
2.150305,32.523
2.169921,33.938
2.189390,33.938
2.207892,35.352
2.227286,35.352
2.247424,36.766
2.266565,38.180
2.285487,38.180
2.304901,39.594
2.323726,39.594
2.342889,41.008
2.362456,42.422
2.382165,42.422
2.401163,43.836
2.420632,43.836
2.439604,45.250
2.458834,45.250
2.478450,33.938
2.498213,22.625
2.517369,22.625
2.537343,24.039
2.556289,25.453
2.575213,26.867
2.595022,28.281
2.614001,28.281
2.633852,29.695
2.653562,31.109
2.673017,32.523
2.692563,32.523
2.711709,33.938
2.731578,35.352
2.750347,35.352
2.769094,36.766
2.788024,38.180
2.807606,38.180
2.827272,39.594
2.846564,39.594
2.865650,41.008
2.884944,41.008
2.904318,42.422
2.923412,42.422
2.943230,43.836
2.962566,43.836
2.981827,45.250
3.001386,45.250
3.020711,46.664
3.039769,46.664
3.058821,48.078
3.078351,35.352
3.097714,24.039
3.117021,24.039
3.137065,25.453
3.155881,26.867
3.175011,28.281
3.194058,28.281
3.213302,29.695
3.232414,31.109
3.251571,32.523
3.270399,32.523
3.290205,33.938
3.308869,35.352
3.327885,35.352
3.346989,36.766
3.366545,36.766
3.386231,38.180
3.405678,39.594
3.424419,39.594
3.444085,41.008
3.463741,41.008
3.482771,42.422
3.501788,42.422
3.520723,43.836
3.539634,43.836
3.558505,45.250
3.578304,36.766
3.597996,25.453
3.617199,22.625
3.636398,24.039
3.655242,25.453
3.674903,26.867
3.694414,26.867
3.714446,28.281
3.733670,29.695
3.753022,31.109
3.772236,32.523
3.791654,32.523
3.811325,33.938
3.831162,35.352
3.850900,35.352
3.870719,36.766
3.889946,36.766
3.909272,38.180
3.929198,39.594
3.948695,39.594
3.968420,41.008
3.987726,41.008
4.007430,42.422
4.026442,42.422
4.045995,43.836
4.065213,43.836
4.084464,45.250
4.103406,45.250
4.123096,46.664
4.142521,46.664
4.161968,48.078
4.181316,36.766
4.201050,24.039
4.219959,24.039
4.238950,25.453
4.258598,26.867
4.278593,26.867
4.297839,28.281
4.316932,29.695
4.336638,31.109
4.355679,31.109
4.375224,32.523
4.394743,33.938
4.414614,35.352
4.434227,35.352
4.454548,36.766
4.474621,38.180
4.494696,38.180
4.514361,39.594
4.533609,39.594
4.552827,41.008
4.572784,41.008
4.592012,42.422
4.611247,42.422
4.630649,43.836
4.649993,45.250
4.669746,45.250
4.689455,45.250
4.709412,31.109
4.728718,22.625
4.747725,22.625
4.767099,24.039
4.787160,25.453
4.807144,26.867
4.827583,28.281
4.846860,29.695
4.865746,29.695
4.885929,31.109
4.905376,32.523
4.924771,32.523
4.943916,33.938
4.963114,35.352
4.982941,35.352
5.002209,36.766
5.021893,38.180
5.042176,38.180
5.061567,39.594
5.080246,39.594
5.099598,41.008
5.118735,41.008
5.138133,42.422
5.157631,43.836
5.177040,43.836
5.196325,45.250
5.215215,45.250
5.234815,46.664
5.254040,46.664
5.273574,48.078
5.292977,35.352
5.312519,24.039
5.332372,24.039
5.351436,25.453
5.371394,26.867
5.391062,28.281
5.410300,28.281
5.429291,29.695
5.448396,31.109
5.469427,32.523
5.488519,32.523
5.507955,33.938
5.527771,35.352
5.546793,35.352
5.566905,36.766
5.586614,38.180
5.605912,38.180
5.625287,39.594
5.644630,39.594
5.664320,41.008
5.684028,41.008
5.703405,42.422
5.722800,43.836
5.742668,43.836
5.761874,45.250
5.780777,45.250
5.799982,41.008
5.819078,31.109
5.838419,22.625
5.857706,22.625
5.876771,24.039
5.896340,25.453
5.915558,26.867
5.934939,28.281
5.954422,29.695
5.974005,29.695
5.993533,31.109
6.013104,32.523
6.032341,32.523
6.052358,33.938
6.071235,35.352
6.090502,35.352
6.110450,36.766
6.130137,38.180
6.149694,38.180
6.168916,39.594
6.187962,39.594
6.207062,41.008
6.226340,41.008
6.245494,42.422
6.265468,43.836
6.285048,43.836
6.304469,45.250
6.323970,45.250
6.343101,46.664
6.362661,46.664
6.383067,48.078
6.402493,35.352
6.421955,24.039
6.441502,24.039
6.460950,25.453
6.480179,26.867
6.499796,28.281
6.518789,28.281
6.538281,29.695
6.558481,31.109
6.578467,32.523
6.597927,32.523
6.616954,33.938
6.636521,35.352
6.655750,35.352
6.675027,36.766
6.694575,38.180
6.713792,38.180
6.732708,39.594
6.751507,39.594
6.770827,41.008
6.789991,41.008
6.809489,42.422
6.829141,43.836
6.848385,43.836
6.867964,45.250
6.888257,45.250
6.907344,32.523
6.926278,22.625
6.945500,22.625
6.965962,24.039
6.985008,25.453
7.004372,26.867
7.023487,28.281
7.042836,28.281
7.062553,29.695
7.082351,31.109
7.101622,32.523
7.120636,32.523
7.139599,33.938
7.159172,35.352
7.178865,35.352
7.198333,36.766
7.218031,38.180
7.237399,38.180
7.257641,39.594
7.277900,39.594
7.297364,41.008
7.316595,42.422
7.335890,42.422
7.355045,43.836
7.374722,43.836
7.394386,45.250
7.413811,45.250
7.433153,46.664
7.451997,46.664
7.471047,48.078
7.490340,48.078
7.509496,32.523
7.528605,24.039
7.548588,24.039
7.567973,25.453
7.587457,26.867
7.606745,28.281
7.626419,29.695
7.646578,29.695
7.666306,31.109
7.685560,32.523
7.705077,33.938
7.724357,33.938
7.743476,35.352
7.762799,36.766
7.783350,36.766
7.802919,38.180
7.822158,38.180
7.841489,39.594
7.860458,41.008
7.879601,41.008
7.898444,42.422
7.917762,42.422
7.937099,43.836
7.956211,43.836
7.975282,45.250
7.994332,45.250
8.013734,33.938
8.032506,22.625
8.052134,22.625
8.071445,24.039
8.091178,25.453
8.110021,26.867
8.129913,26.867
8.149524,28.281
8.168868,29.695
8.188036,31.109
8.207188,32.523
8.226449,32.523
8.245868,33.938
8.265610,35.352
8.285041,35.352
8.305041,36.766
8.324736,38.180
8.343622,38.180
8.362653,39.594
8.382276,39.594
8.401479,41.008
8.420890,41.008
8.439932,42.422
8.459106,42.422
8.478558,43.836
8.498698,43.836
8.518791,45.250
8.538592,45.250
8.558573,46.664
8.578287,46.664
8.598031,43.836
8.617343,31.109
8.636666,24.039
8.656095,24.039
8.675433,25.453
8.694504,26.867
8.713744,28.281
8.732822,29.695
8.752169,29.695
8.771425,31.109
8.791258,32.523
8.811002,33.938
8.830379,33.938
8.849542,35.352
8.868880,36.766
8.888565,36.766
8.907717,38.180
8.926554,38.180
8.946896,39.594
8.965872,39.594
8.985812,41.008
9.005265,42.422
9.024221,42.422
9.043443,43.836
9.062770,43.836
9.082386,45.250
9.102000,45.250
9.121667,46.664
9.141310,46.664
9.160963,48.078
9.179950,48.078
9.199057,43.836
9.218610,31.109
9.237650,24.039
9.257654,24.039
9.276495,25.453
9.295603,26.867
9.314639,28.281
9.333974,29.695
9.353328,29.695
9.372730,31.109
9.391944,32.523
9.411516,33.938
9.432329,33.938
9.451705,35.352
9.471029,36.766
9.490566,36.766
9.510498,38.180
9.529628,38.180
9.549404,39.594
9.568440,39.594
9.587487,41.008
9.606770,42.422
9.627630,42.422
9.647488,43.836
9.666766,43.836
9.686489,45.250
9.706385,45.250
9.725576,33.938
9.744632,22.625
9.764086,22.625
9.783375,24.039
9.802802,25.453
9.822180,26.867
9.841115,28.281
9.861065,28.281
9.879942,29.695
9.899244,31.109
9.919421,32.523
9.938554,32.523
9.957593,33.938
9.976585,35.352
9.995443,35.352
10.014733,36.766
10.034180,36.766
10.053444,38.180
10.073219,39.594
10.092894,39.594
10.112279,41.008
10.131637,41.008
10.150693,42.422
10.170153,42.422
10.189335,43.836
10.208275,43.836
10.227716,45.250
10.247079,45.250
10.266297,46.664
10.286175,46.664
10.305208,43.836
10.324278,31.109
10.343539,24.039
10.363207,24.039
10.382692,25.453
10.402084,26.867
10.421491,28.281
10.440699,29.695
10.460491,29.695
10.480382,31.109
10.499387,32.523
10.518531,33.938
10.538901,33.938
10.558411,35.352
10.577864,36.766
10.598107,36.766
10.617847,38.180
10.637516,38.180
10.657594,39.594
10.678004,41.008
10.697871,41.008
10.717111,42.422
10.736418,42.422
10.755599,43.836
10.774772,43.836
10.794494,45.250
10.813868,45.250
10.833418,33.938
10.853100,22.625
10.872634,22.625
10.891666,24.039
10.911260,25.453
10.930271,26.867
10.949850,28.281
10.968819,28.281
10.988298,29.695
11.007450,31.109
11.027200,32.523
11.047253,32.523
11.067050,33.938
11.087295,35.352
11.106707,35.352
11.125999,36.766
11.145348,38.180
11.164968,38.180
11.184303,39.594
11.204393,39.594
11.223691,41.008
11.243264,41.008
11.263160,42.422
11.283002,42.422
11.301936,43.836
11.321891,45.250
11.341425,45.250
11.360652,46.664
11.379511,46.664
11.398433,48.078
11.417264,39.594
11.436498,24.039
11.456038,24.039
11.475246,25.453
11.494613,25.453
11.514304,26.867
11.534072,28.281
11.553443,29.695
11.572882,29.695
11.592093,31.109
11.611716,32.523
11.631260,33.938
11.651180,33.938
11.670362,35.352
11.689331,36.766
11.708433,36.766
11.727745,38.180
11.747122,38.180
11.767076,39.594
11.786002,41.008
11.805120,41.008
11.824858,42.422
11.844204,42.422
11.863559,43.836
11.882825,43.836
11.903043,45.250
11.922290,45.250
11.941321,46.664
11.960852,32.523
11.979868,22.625
11.999533,22.625
12.018773,24.039
12.038187,25.453
12.057858,26.867
12.077459,28.281
12.097227,28.281
12.116525,29.695
12.135834,31.109
12.155300,32.523
12.174932,32.523
12.194385,33.938
12.213893,35.352
12.233284,35.352
12.252346,36.766
12.272042,38.180
12.291302,38.180
12.310380,39.594
12.329464,39.594
12.348957,41.008
12.367994,41.008
12.387332,42.422
12.406682,42.422
12.426838,43.836
12.445732,45.250
12.465051,45.250
12.484703,46.664
12.503766,46.664
12.524128,48.078
12.543300,38.180
12.563273,26.867
12.583242,24.039
12.602504,25.453
12.622396,26.867
12.642623,28.281
12.662507,28.281
12.682193,29.695
12.701726,31.109
12.721075,32.523
12.740223,32.523
12.759372,33.938
12.779045,35.352
12.798362,35.352
12.817687,36.766
12.836780,38.180
12.856235,38.180
12.875504,39.594
12.895069,39.594
12.913979,41.008
12.933919,41.008
12.952909,42.422
12.971971,42.422
12.991448,43.836
13.010700,45.250
13.030080,45.250
13.049743,45.250
13.069357,32.523
13.088496,22.625
13.107678,22.625
13.126955,24.039
13.146165,25.453
13.165810,26.867
13.185921,28.281
13.205675,29.695
13.224607,29.695
13.243774,31.109
13.263537,32.523
13.283074,32.523
13.302259,33.938
13.321784,35.352
13.340992,35.352
13.360118,36.766
13.379619,38.180
13.398957,38.180
13.418800,39.594
13.438243,39.594
13.458046,41.008
13.477671,42.422
13.497450,42.422
13.517299,43.836
13.536439,43.836
13.555497,45.250
13.575129,45.250
13.594734,46.664
13.614194,46.664
13.633415,48.078
13.652594,48.078
13.672151,48.078
13.692256,35.352
13.711860,24.039
13.731452,24.039
13.751804,25.453
13.771480,26.867
13.790724,28.281
13.810381,29.695
13.829801,29.695
13.849382,31.109
13.869044,32.523
13.887973,33.938
13.907780,33.938
13.927260,35.352
13.947199,36.766
13.966276,36.766
13.986222,38.180
14.006354,38.180
14.025429,39.594
14.044783,41.008
14.064393,41.008
14.084330,42.422
14.103734,42.422
14.123148,43.836
14.142642,43.836
14.161730,45.250
14.180959,33.938
14.200050,22.625
14.219741,22.625
14.238988,24.039
14.258066,25.453
14.277377,26.867
14.297006,28.281
14.316813,28.281
14.335807,29.695
14.355578,31.109
14.374777,32.523
14.394365,32.523
14.413731,33.938
14.433741,35.352
14.452971,35.352
14.472572,36.766
14.492030,38.180
14.511597,38.180
14.530847,39.594
14.549762,39.594
14.568518,41.008
14.587835,41.008
14.606979,42.422
14.626554,42.422
14.646124,43.836
14.665633,43.836
14.685868,45.250
14.705653,46.664
14.725617,46.664
14.745704,48.078
14.764789,35.352
14.783536,24.039
14.804005,24.039
14.823171,25.453
14.842728,26.867
14.861893,28.281
14.880921,28.281
14.900439,29.695
14.919968,31.109
14.939061,32.523
14.958299,32.523
14.977407,33.938
14.996920,35.352
15.016570,35.352
15.036385,36.766
15.056103,38.180
15.075308,38.180
15.094862,39.594
15.114220,39.594
15.133689,41.008
15.152810,41.008
15.172156,42.422
15.191748,42.422
15.210624,43.836
15.230336,45.250
15.249960,45.250
15.269941,41.008
15.288991,31.109
15.308000,22.625
15.327755,22.625
15.347283,24.039
15.366794,25.453
15.385838,26.867
15.405089,28.281
15.424433,29.695
15.443762,29.695
15.463812,31.109
15.483882,32.523
15.502900,33.938
15.521880,33.938
15.541231,35.352
15.560859,36.766
15.580258,36.766
15.600047,38.180
15.619094,38.180
15.638793,39.594
15.658528,39.594
15.677956,41.008
15.697110,42.422
15.716504,42.422
15.735414,43.836
15.754294,43.836
15.773954,39.594
15.793298,29.695
15.812180,21.211
15.831735,22.625
15.851178,22.625
15.870344,24.039
15.889293,25.453
15.909001,26.867
15.928336,28.281
15.947600,29.695
15.966502,29.695
15.986267,31.109
16.005494,32.523
16.024625,33.938
16.044614,33.938
16.063724,35.352
16.083284,35.352
16.103187,36.766
16.122914,38.180
16.142237,38.180
16.161665,39.594
16.180586,39.594
16.200091,41.008
16.219975,42.422
16.239236,42.422
16.258725,43.836
16.277863,43.836
16.297811,45.250
16.316818,45.250
16.335963,46.664
16.355107,46.664
16.374729,39.594
16.393704,28.281
16.412818,22.625
16.432234,24.039
16.451623,24.039
16.470846,25.453
16.490126,26.867
16.511093,28.281
16.530995,29.695
16.550340,29.695
16.569618,31.109
16.588619,32.523
