time_s,qlen_pkts
6.624005,6
6.638454,5
6.653194,7
6.667968,7
6.682460,6
6.697275,6
6.712051,6
6.726531,6
6.741533,7
6.756081,7
6.770607,8
6.785054,7
6.799706,8
6.814534,8
6.829389,7
6.843923,8
6.858475,9
6.873416,9
6.888118,8
6.902410,8
6.916906,7
6.931514,1
6.946280,2
6.960377,3
6.975129,1
6.989366,3
7.003631,3
7.018706,3
7.032967,4
7.047577,3
7.062373,4
7.076835,4
7.091066,4
7.105671,4
7.119896,4
7.134577,5
7.149009,5
7.163792,6
7.178138,5
7.193387,6
7.208125,7
7.223053,7
7.237480,7
7.251855,8
7.266398,7
7.280690,7
7.295354,7
7.310464,8
7.325270,8
7.339593,9
7.353748,9
7.368409,9
7.383902,8
7.397908,10
7.412011,10
7.426453,10
7.440573,10
7.455634,10
7.470315,9
7.485232,8
7.499824,8
7.514129,7
7.528885,2
7.543638,2
7.558535,2
7.573689,2
7.588436,4
7.602987,3
7.617651,4
7.632088,3
7.646484,4
7.660772,4
7.674689,5
7.689757,5
7.704330,5
7.718595,4
7.732873,5
7.747084,6
7.762083,6
7.777372,7
7.791499,6
7.805912,6
7.820872,6
7.835105,8
7.849756,7
7.863981,8
7.878231,9
7.892863,8
7.907427,9
7.921720,8
7.935851,7
7.950075,8
7.964701,10
7.979045,9
7.993590,8
8.008389,8
8.022892,8
8.037811,2
8.051934,3
8.066593,2
8.080982,2
8.095482,4
8.110024,3
8.124998,2
8.139724,3
8.154551,3
8.168667,4
8.183383,4
8.197847,5
8.212148,5
8.226275,4
8.241539,6
8.256168,5
8.270296,6
8.284930,5
8.299313,7
8.313645,7
8.328067,6
8.342470,6
8.356712,8
8.370825,8
8.385281,9
8.399612,9
8.414149,8
8.428476,8
8.442905,8
8.457235,9
8.471788,9
8.486452,10
8.500578,9
8.515524,10
8.529881,10
8.544708,9
8.559537,10
8.574174,9
8.588862,9
8.604071,9
8.618613,7
8.633082,2
8.647935,3
8.662275,2
8.676652,4
8.691022,3
8.705352,3
8.720038,3
8.734342,3
8.748934,4
8.763586,3
8.778203,6
8.793163,4
8.807688,5
8.822646,5
8.837255,6
8.851609,7
8.865961,6
8.880685,7
8.895274,6
8.910101,6
8.924761,7
8.939040,6
8.954013,8
8.968973,8
8.983437,8
8.998459,8
9.013099,8
9.027187,7
9.041761,7
9.056161,8
9.070471,9
9.085346,8
9.100241,10
9.114631,10
9.129066,9
9.143459,10
9.158229,10
9.172511,10
9.186638,10
9.201116,9
9.215189,8
9.230203,6
9.244642,3
9.260049,2
9.274338,4
9.288870,2
9.303086,2
9.317681,3
9.331874,4
9.346249,5
9.361189,4
9.375288,5
9.390058,4
9.404639,5
9.419133,5
9.433508,6
9.447841,5
9.462435,7
9.477693,7
9.492101,6
9.506530,6
9.520999,7
9.535700,6
9.550672,8
9.564972,8
9.580336,9
9.594961,8
9.609769,9
9.624240,8
9.638641,8
9.653199,8
9.667762,9
9.682067,9
9.696583,9
9.710857,9
9.725347,8
9.739878,8
9.754619,3
9.769546,2
9.784173,3
9.799496,1
9.813901,3
9.828042,3
9.842563,2
9.857332,3
9.871619,4
9.885884,5
9.900272,4
9.914602,4
9.929130,4
9.943863,4
9.958540,5
9.973136,6
9.988574,7
10.002482,6
10.016750,7
10.031352,7
10.045894,6
10.060364,8
10.074982,6
10.089403,7
10.103975,8
10.118797,8
10.133834,8
10.148243,9
10.163283,9
10.177626,9
10.192056,10
10.206421,9
10.220925,10
10.235534,9
10.250044,9
10.264550,9
10.279156,10
10.293912,8
10.308265,7
10.323002,8
10.337273,5
10.351973,4
10.366477,2
10.380962,3
10.395604,2
10.409917,2
10.424390,3
10.438813,4
10.453134,5
10.468263,4
10.482690,5
10.497330,4
10.511427,5
10.526720,4
10.541330,5
10.556097,6
10.570346,6
10.585555,8
10.600138,7
10.614513,7
10.628598,6
10.643060,6
10.657826,7
10.672541,7
10.687103,8
10.702400,7
10.717521,8
10.732059,8
10.746887,8
10.761479,9
10.776204,9
10.790782,9
10.805964,9
10.820403,9
10.835258,8
10.849894,6
10.864738,2
10.879526,2
10.894833,4
10.909682,1
10.924250,3
10.938511,2
10.952822,3
10.967549,3
10.982347,4
10.997003,3
11.011354,5
11.025410,4
11.040015,4
11.054633,4
11.068964,5
11.083194,5
11.097967,6
11.112474,7
11.126502,6
11.141025,7
11.155281,7
11.169733,8
11.184105,7
11.199039,8
11.213294,7
11.228258,7
11.243074,8
11.257525,9
11.272114,8
11.286517,8
11.300651,9
11.315108,8
11.329640,9
11.343812,9
11.358976,10
11.373269,10
11.387951,10
11.402386,10
11.417058,9
11.431352,8
11.445532,2
11.460061,3
11.474481,2
11.489337,3
11.503550,3
11.517694,2
11.532321,3
11.546593,3
11.561108,5
11.575466,4
11.589550,4
11.603911,5
11.619061,6
11.633510,5
11.648147,5
11.662765,5
11.677328,6
11.692084,8
11.707132,6
11.721460,6
11.735952,6
11.750466,6
11.765094,7
11.779806,7
11.794639,9
11.809966,9
11.824642,7
11.838841,9
11.853461,9
11.868233,9
11.882810,9
11.897398,10
11.911969,10
11.926440,9
11.941150,8
11.955390,8
11.969624,8
11.984100,1
11.998759,3
12.013103,3
12.027212,1
12.041680,3
12.055843,2
12.070450,2
12.085643,3
12.100023,4
12.114245,5
12.128809,4
12.143611,5
12.158687,5
12.173350,6
12.187836,4
12.202349,6
12.216771,6
12.231030,6
12.246272,7
12.260920,7
12.275413,7
12.290027,6
12.304557,8
12.318890,7
12.333219,8
12.347682,7
12.362105,7
12.376948,8
12.392432,8
12.407063,9
12.421533,9
12.436083,9
12.450441,9
12.464919,9
12.480121,9
12.494780,9
12.509120,9
12.523971,8
12.538361,9
12.553265,9
12.567454,7
12.581959,4
12.596622,1
12.611498,3
12.625901,3
12.640589,2
12.655513,3
12.670228,3
12.685008,3
12.699849,5
12.714436,4
12.729259,4
12.743582,5
12.758104,5
12.772720,6
12.786831,5
12.801554,7
12.815872,6
12.830748,6
12.845355,6
12.860347,7
12.875265,8
12.890021,7
12.904300,7
12.918644,7
12.933183,8
12.947872,9
12.962391,9
12.976991,9
12.991569,9
13.006536,9
13.020471,10
13.034788,9
13.049014,8
13.063353,8
13.077823,7
13.092452,2
13.106472,4
13.120868,2
13.135142,2
13.149659,3
13.164041,3
13.178555,3
13.193195,3
13.207478,4
13.221746,5
13.236819,4
13.251309,4
13.265486,5
13.280156,5
13.294594,6
13.309119,7
13.323742,6
13.338551,6
13.352920,7
13.367814,6
13.382557,7
13.397188,6
13.412154,7
13.427004,7
13.441340,7
13.455597,7
13.470177,7
13.484843,9
13.499471,8
13.513921,9
13.528778,9
13.543134,9
13.557559,8
13.572187,9
13.586871,10
13.601096,9
13.616166,9
13.630461,10
13.644914,10
13.659580,9
13.674511,10
13.688858,8
13.703623,8
13.718614,1
13.733317,3
13.747840,3
13.762417,2
13.776922,2
13.791324,3
13.805457,4
13.819812,4
13.834099,4
13.848634,4
13.862936,4
13.877649,5
13.892253,5
13.907043,5
13.921548,6
13.935840,6
13.950428,5
13.964757,6
13.979357,6
13.993883,7
14.008705,6
14.023115,8
14.037884,7
14.052541,7
14.067383,7
14.082060,8
14.097143,8
14.111479,9
14.126740,10
14.141027,8
14.155795,8
14.170364,8
14.185847,7
14.200347,4
14.214940,3
14.228903,2
14.243424,3
14.258008,4
14.272536,2
14.287095,3
14.301910,4
14.316615,5
14.331308,3
14.345904,3
14.361306,4
14.375695,4
14.390437,4
14.405078,4
14.419742,6
14.434192,5
14.449420,6
14.464322,6
14.479326,7
14.494049,6
14.508713,7
14.523033,8
14.537836,7
14.552305,7
14.566321,8
14.580988,8
14.595891,8
14.610389,8
14.624785,10
14.639481,8
14.653900,8
14.668510,8
14.683138,9
14.697522,9
14.711999,9
14.726448,9
14.741011,9
14.755372,9
14.769528,8
14.783777,5
14.798428,3
14.813013,3
14.826886,2
14.841422,2
14.856500,2
14.870977,3
14.885633,3
14.900234,3
14.914368,4
14.928883,5
14.943314,4
14.958083,4
14.973210,5
14.987606,5
15.001928,5
15.016355,6
15.030704,6
15.045514,6
15.060290,7
15.074860,6
15.089389,7
15.104396,8
15.118507,9
15.132949,9
15.147370,8
15.161837,8
15.176030,8
15.190454,9
15.205416,9
15.220267,9
15.235152,10
15.249811,8
15.264399,8
15.279065,9
15.293585,7
15.307804,1
15.322053,3
15.336791,3
15.351125,1
15.365580,3
15.380038,2
15.394215,2
15.408132,3
15.422639,4
15.436710,3
15.451213,3
15.465744,4
15.480385,4
15.494698,4
15.510182,5
15.525173,6
15.539449,5
15.554605,6
15.569079,6
15.583432,7
15.598394,7
15.613152,7
15.627654,8
15.641963,7
15.656736,8
15.671010,7
15.685619,8
15.700463,9
15.714850,9
15.729096,10
15.743475,9
15.757821,9
15.772677,9
15.787456,7
15.802421,5
15.816993,3
15.831503,2
15.845671,3
15.859949,2
15.874313,4
15.889272,2
15.904121,2
15.919049,2
15.933431,3
15.947878,3
15.962154,3
15.976839,3
15.991687,4
16.006376,4
16.021144,4
16.035700,7
16.050115,5
16.064598,5
16.079383,6
16.094365,7
16.109134,6
16.123820,7
16.138386,9
16.152587,8
16.167204,7
16.181436,7
16.196483,7
16.210847,7
16.225173,8
16.239491,9
16.253950,8
16.268250,8
16.282530,8
16.297088,10
16.311487,10
16.326222,10
16.340543,9
16.355326,8
16.370115,8
16.384996,8
16.399478,6
16.414734,4
16.429173,1
16.444028,3
16.458701,2
16.473387,3
16.488175,3
16.502789,3
16.516964,4
16.531351,4
16.545774,4
16.560785,3
16.574952,4
16.590027,5
16.604570,4
16.619228,6
16.633780,7
16.648022,5
16.662576,5
16.676969,7
16.691582,6
16.706933,7
16.722775,6
16.737397,7
16.751987,7
16.766943,8
16.781211,8
16.795870,7
16.810523,9
16.824841,8
16.839576,10
16.854166,9
16.868309,8
16.882457,9
16.896981,8
16.911986,7
16.926198,2
16.941161,2
16.956373,3
16.971002,2
16.985729,3
17.000291,3
17.014851,3
17.029645,4
17.044518,3
17.059347,3
17.073729,4
17.088350,4
17.102520,4
17.117159,4
17.131514,5
17.146243,7
17.160838,6
17.175449,5
17.190242,6
17.204465,6
17.219049,6
17.233362,7
17.247723,7
17.262117,7
17.276679,8
17.291054,8
17.305538,8
17.319739,8
17.334630,7
17.349184,9
17.363685,8
17.378380,8
17.393424,9
17.407595,9
17.422087,9
17.436599,9
17.450718,9
17.464998,8
17.480241,8
17.494270,7
17.508603,3
17.523072,5
17.538281,4
17.552763,2
17.567141,3
17.581956,2
17.596842,3
17.611142,2
17.625786,3
17.640423,4
17.654823,4
17.669323,4
17.683731,4
17.698297,5
17.713255,5
17.727596,5
17.741799,6
17.756108,6
17.770810,6
17.785030,6
17.799683,8
17.814088,7
17.829181,7
17.843550,8
17.857922,7
17.873034,7
17.887928,7
17.902001,8
17.916250,8
17.930330,8
17.945548,9
17.960411,9
17.975307,9
17.989812,9
18.004765,8
18.019278,7
18.033357,2
18.047871,2
18.062492,2
18.076816,3
18.091492,3
18.105720,3
18.119918,2
18.134498,4
18.149730,5
18.164315,4
18.179204,5
18.193844,5
18.208678,4
18.223685,4
18.238099,5
18.252708,6
18.267182,5
18.281819,5
18.296100,7
18.310784,6
18.325458,6
18.340026,6
18.354452,8
18.369142,7
18.383530,7
18.397952,7
18.413017,8
18.427793,8
18.442179,9
