time_s,cwnd_kb
0.000000,5.117
0.020939,5.117
0.040869,5.117
0.060402,14.141
0.081051,26.867
0.100280,45.250
0.120193,70.703
0.139864,90.500
0.159738,115.953
0.179122,137.164
0.198206,162.617
0.217938,183.828
0.237504,209.281
0.257232,230.492
0.276977,251.703
0.296569,277.156
0.316200,287.055
0.335714,246.047
0.354998,214.938
0.374150,176.758
0.393505,147.062
0.412578,147.062
0.432427,139.992
0.452411,147.062
0.472052,147.062
0.491455,94.742
0.511045,76.359
0.530549,76.359
0.550345,89.086
0.570125,84.844
0.589272,82.016
0.608407,82.016
0.628241,84.844
0.647405,86.258
0.666506,147.062
0.686408,147.062
0.705814,147.062
0.725258,147.062
0.744432,83.430
0.763646,73.531
0.782598,73.531
0.802121,73.531
0.821191,73.531
0.840545,73.531
0.859553,73.531
0.879189,73.531
0.899753,73.531
0.919170,73.531
0.937989,74.945
0.957855,74.945
0.977016,74.945
0.996290,76.359
1.016119,76.359
1.035607,76.359
1.054945,77.773
1.074997,77.773
1.095244,77.773
1.115812,79.188
1.135014,79.188
1.154408,79.188
1.173389,79.188
1.192307,80.602
1.211854,80.602
1.230758,80.602
1.250299,80.602
1.269323,82.016
1.288329,82.016
1.307562,82.016
1.328354,83.430
1.347968,83.430
1.366993,83.430
1.386127,83.430
1.405179,84.844
1.425133,84.844
1.444910,84.844
1.464591,84.844
1.484132,86.258
1.503373,86.258
1.522638,86.258
1.541675,87.672
1.560715,87.672
1.580560,87.672
1.599748,87.672
1.619107,89.086
1.638335,89.086
1.657943,89.086
1.677553,89.086
1.696841,90.500
1.716257,90.500
1.735459,90.500
1.754817,90.500
1.774150,91.914
1.793590,91.914
1.812290,91.914
1.831665,91.914
1.851139,93.328
1.870219,93.328
1.889284,93.328
1.908404,93.328
1.927731,93.328
1.947111,94.742
1.966155,94.742
1.984891,94.742
2.004330,94.742
2.023321,96.156
2.043110,96.156
2.062370,96.156
2.081023,96.156
2.099896,97.570
2.119203,97.570
2.139021,97.570
2.158421,97.570
2.178129,98.984
2.197397,98.984
2.216331,98.984
2.235722,98.984
2.254772,98.984
2.273900,100.398
2.293110,100.398
2.311929,93.328
2.330983,83.430
2.350065,72.117
2.369453,60.805
2.388980,49.492
2.408774,49.492
2.427837,49.492
2.447503,50.906
2.466624,50.906
2.485889,52.320
2.504891,52.320
2.524382,53.734
2.543599,53.734
2.562483,53.734
2.581650,55.148
2.601466,55.148
2.620259,56.562
2.640300,56.562
2.659624,56.562
2.678932,57.977
2.699177,57.977
2.718298,59.391
2.737207,59.391
2.756638,59.391
2.775217,60.805
2.795111,60.805
2.814168,60.805
2.833632,62.219
2.853281,62.219
2.872491,63.633
2.891857,63.633
2.910946,63.633
2.930207,65.047
2.949287,65.047
2.968514,65.047
2.987793,66.461
3.006596,66.461
3.025800,66.461
3.044880,67.875
3.064534,67.875
3.083680,67.875
3.102916,69.289
3.121883,69.289
3.141414,69.289
3.160651,70.703
3.180906,70.703
3.200145,70.703
3.219441,72.117
3.239087,72.117
3.258246,72.117
3.277245,72.117
3.296518,73.531
3.316021,73.531
3.335159,73.531
3.355071,74.945
3.373919,74.945
3.393177,74.945
3.412366,76.359
3.431696,76.359
3.451403,76.359
3.471862,77.773
3.491035,77.773
3.509930,77.773
3.528834,77.773
3.548198,79.188
3.567780,79.188
3.587258,79.188
3.607146,80.602
3.626639,80.602
3.645855,80.602
3.664860,80.602
3.684612,82.016
3.703957,82.016
3.723271,82.016
3.743591,83.430
3.763500,83.430
3.782561,83.430
3.801903,83.430
3.821199,84.844
3.840572,84.844
3.859434,84.844
3.879369,84.844
3.899967,86.258
3.919427,86.258
3.939275,86.258
3.958316,86.258
3.977223,87.672
3.996697,87.672
4.015942,87.672
4.035779,89.086
4.055509,89.086
4.075554,89.086
4.095095,89.086
4.114153,90.500
4.133404,90.500
4.152595,90.500
4.172236,90.500
4.192438,91.914
4.212473,91.914
4.231650,91.914
4.252533,91.914
4.271997,93.328
4.291106,93.328
4.311209,93.328
4.330437,93.328
4.350337,94.742
4.369342,94.742
4.388575,94.742
4.407885,94.742
4.426671,94.742
4.446508,96.156
4.465956,96.156
4.486304,96.156
4.505568,96.156
4.525144,97.570
4.544521,97.570
4.564412,97.570
4.583826,97.570
4.602910,98.984
4.623870,98.984
4.643111,98.984
4.661930,98.984
4.681264,100.398
4.700979,100.398
4.720676,100.398
4.739905,100.398
4.759545,100.398
4.779050,97.570
4.798431,87.672
4.817627,76.359
4.836500,65.047
4.855951,53.734
4.875372,50.906
4.894605,50.906
4.913509,52.320
4.932834,52.320
4.952090,53.734
4.972120,53.734
4.992209,53.734
5.011691,55.148
5.031260,55.148
5.051475,56.562
5.071647,56.562
5.091900,57.977
5.111322,57.977
5.131118,57.977
5.150609,59.391
5.170151,59.391
5.189771,59.391
5.209244,60.805
5.228751,60.805
5.248479,62.219
5.268101,62.219
5.288664,62.219
5.308073,63.633
5.327160,63.633
5.347258,63.633
5.366813,65.047
5.386038,65.047
5.405330,65.047
5.424780,66.461
5.444455,66.461
5.463585,66.461
5.483398,67.875
5.503484,67.875
5.522768,69.289
5.542209,69.289
5.562633,69.289
5.581743,69.289
5.601279,70.703
5.620207,70.703
5.640417,70.703
5.660524,72.117
5.680794,72.117
5.701239,72.117
5.720155,73.531
5.739905,73.531
5.759524,73.531
5.778213,74.945
5.798044,74.945
5.817199,74.945
5.836597,76.359
5.855634,76.359
5.875660,76.359
5.894702,76.359
5.914028,77.773
5.933240,77.773
5.952736,77.773
5.972435,79.188
5.991904,79.188
6.011803,79.188
6.030860,79.188
6.050515,80.602
6.070270,80.602
6.089643,80.602
6.109198,82.016
6.129103,82.016
6.148958,82.016
6.168201,82.016
6.187728,83.430
6.207039,83.430
6.226530,83.430
6.245889,84.844
6.265203,84.844
6.284402,84.844
6.303754,84.844
6.322991,86.258
6.341792,86.258
6.361105,86.258
6.380237,86.258
6.399594,87.672
6.419125,87.672
6.439056,87.672
6.458680,87.672
6.478137,89.086
6.497349,89.086
6.516405,89.086
6.535537,89.086
6.554459,90.500
6.573736,90.500
6.593205,90.500
6.612801,90.500
6.632313,91.914
6.652876,91.914
6.672121,91.914
6.692434,91.914
6.712205,93.328
6.731210,93.328
6.751017,93.328
6.771010,93.328
6.790216,94.742
6.809761,94.742
6.829017,94.742
6.848954,94.742
6.868301,96.156
6.887582,96.156
6.907725,96.156
6.926998,96.156
6.946805,97.570
6.966008,97.570
6.985329,97.570
7.004938,97.570
7.024043,97.570
7.043653,98.984
7.062811,98.984
7.081960,98.984
7.101427,98.984
7.120535,100.398
7.139852,94.742
7.159374,84.844
7.179232,73.531
7.199276,62.219
7.218622,49.492
7.237978,49.492
7.257742,49.492
7.277076,50.906
7.297036,50.906
7.315959,52.320
7.335564,52.320
7.354769,53.734
7.374142,53.734
7.393858,53.734
7.412993,55.148
7.433117,55.148
7.452441,56.562
7.471725,56.562
7.491398,56.562
7.511125,57.977
7.530267,57.977
7.549389,59.391
7.568746,59.391
7.588522,59.391
7.608388,60.805
7.628356,60.805
7.647703,62.219
7.667490,62.219
7.686311,62.219
7.705181,63.633
7.724380,63.633
7.744042,63.633
7.763692,65.047
7.783248,65.047
7.802054,65.047
7.822195,66.461
7.841282,66.461
7.860642,66.461
7.879635,67.875
7.898677,67.875
7.917254,67.875
7.936899,69.289
7.955745,69.289
7.975817,69.289
7.995869,70.703
8.015204,70.703
8.034120,70.703
8.053145,72.117
8.072583,72.117
8.091934,72.117
8.111899,73.531
8.131384,73.531
8.151087,73.531
8.169928,73.531
8.189423,74.945
8.208585,74.945
8.228286,74.945
8.248720,76.359
8.267894,76.359
8.287230,76.359
8.306470,77.773
8.326621,77.773
8.345974,77.773
8.365696,77.773
8.384548,79.188
8.404039,79.188
8.423831,79.188
8.443354,80.602
8.462749,80.602
8.482633,80.602
8.501963,80.602
8.521109,82.016
8.540415,82.016
8.559625,82.016
8.579015,83.430
8.598043,83.430
8.617140,83.430
8.636821,83.430
8.656534,84.844
8.675668,84.844
8.694398,84.844
8.714026,84.844
8.732997,86.258
8.752476,86.258
8.771324,86.258
8.790907,86.258
8.810428,87.672
8.829433,87.672
8.848927,87.672
8.868153,89.086
8.887646,89.086
8.907476,89.086
8.926637,89.086
8.946179,90.500
8.965302,90.500
8.983893,90.500
9.003408,90.500
9.022806,91.914
9.042081,91.914
9.061418,91.914
9.080799,91.914
9.100291,91.914
9.119950,93.328
9.140126,93.328
9.159406,93.328
9.179832,93.328
9.199235,94.742
9.218347,94.742
9.237561,94.742
9.257620,94.742
9.276850,96.156
9.296276,96.156
9.315368,96.156
9.334768,96.156
9.353783,97.570
9.373159,97.570
9.392798,97.570
9.411971,97.570
9.430988,98.984
9.450685,98.984
9.470160,98.984
9.489496,98.984
9.508943,98.984
9.528333,100.398
9.547175,100.398
9.567275,100.398
9.586718,100.398
9.606539,101.812
9.625571,101.812
9.644480,101.812
9.664343,101.812
9.684055,101.812
9.703645,91.914
9.723042,80.602
9.742164,70.703
9.761678,56.562
9.781246,50.906
9.801325,50.906
9.820363,50.906
9.839511,50.906
9.858812,52.320
9.878248,52.320
9.897880,53.734
9.917163,53.734
9.936861,53.734
9.956285,55.148
9.975849,55.148
9.995144,56.562
10.015075,56.562
10.034236,56.562
10.053590,57.977
10.072702,57.977
10.091705,59.391
10.111106,59.391
10.130125,59.391
10.149458,60.805
10.168575,60.805
10.188847,60.805
10.208666,62.219
10.227967,62.219
10.247843,63.633
10.266835,63.633
10.285832,63.633
10.305402,65.047
10.324626,65.047
10.344061,65.047
10.363998,66.461
10.383439,66.461
10.403274,66.461
10.423207,67.875
10.442527,67.875
10.461345,67.875
10.480995,69.289
10.501239,69.289
10.520806,69.289
10.539718,70.703
10.559193,70.703
10.578888,70.703
10.598585,72.117
10.617695,72.117
10.636949,72.117
10.657049,73.531
10.676713,73.531
10.696670,73.531
10.716527,74.945
10.735737,74.945
10.755401,74.945
10.774724,74.945
10.794431,76.359
10.813525,76.359
10.832658,76.359
10.851860,77.773
10.871537,77.773
10.890982,77.773
10.910614,79.188
10.930235,79.188
10.950037,79.188
10.969416,79.188
10.988659,80.602
11.008342,80.602
11.027407,80.602
11.046881,80.602
11.066506,82.016
11.085835,82.016
11.104856,82.016
11.124121,83.430
11.143465,83.430
11.163023,83.430
11.182190,83.430
11.201946,84.844
11.221513,84.844
11.240728,84.844
11.261457,84.844
11.280718,86.258
11.300291,86.258
11.319868,86.258
11.339521,87.672
11.358536,87.672
11.377854,87.672
11.397142,87.672
11.416943,89.086
11.436549,89.086
11.455601,89.086
11.474607,89.086
11.494209,90.500
11.513355,90.500
11.532514,90.500
11.552896,90.500
11.572504,91.914
11.591565,91.914
11.611882,91.914
11.631247,91.914
11.650721,93.328
11.670179,93.328
11.689346,93.328
11.708496,93.328
11.728296,94.742
11.747623,94.742
11.766989,94.742
11.786160,94.742
11.805321,96.156
11.824508,96.156
11.844026,96.156
11.863214,96.156
11.882995,96.156
11.902330,97.570
11.921740,97.570
11.941438,97.570
11.960974,97.570
11.980600,98.984
12.001236,98.984
12.021092,98.984
12.040299,98.984
12.059669,100.398
12.080012,100.398
12.099459,90.500
12.119335,79.188
12.138787,69.289
12.158639,57.977
12.177987,49.492
12.197702,49.492
12.217340,50.906
12.236538,50.906
12.256563,50.906
12.276865,52.320
12.297228,52.320
12.316674,53.734
12.335821,53.734
12.355648,55.148
12.375351,55.148
12.394972,55.148
12.415575,56.562
12.436254,56.562
12.456440,57.977
12.475545,57.977
12.495295,59.391
12.514380,59.391
12.533757,59.391
12.553406,60.805
12.572735,60.805
12.592241,60.805
12.611644,62.219
12.631169,62.219
12.650843,63.633
12.669930,63.633
12.689489,63.633
12.709463,65.047
12.729363,65.047
12.748842,65.047
12.768504,66.461
12.787855,66.461
12.807700,66.461
12.827710,67.875
12.847604,67.875
12.868151,67.875
12.887111,69.289
12.906326,69.289
12.926086,69.289
12.945360,70.703
12.964426,70.703
12.983244,70.703
13.002404,72.117
13.021949,72.117
13.041188,72.117
13.061009,73.531
13.080195,73.531
13.099959,73.531
13.119200,73.531
13.139101,74.945
13.159895,74.945
13.179038,74.945
13.198320,76.359
13.218197,76.359
13.237691,76.359
13.256609,77.773
13.276146,77.773
13.296212,77.773
13.315730,77.773
13.334830,79.188
13.354841,79.188
13.374813,79.188
13.394266,80.602
13.414010,80.602
13.433243,80.602
13.452317,80.602
13.471688,82.016
13.490647,82.016
13.509810,82.016
13.528823,83.430
13.547907,83.430
13.567960,83.430
13.587390,83.430
13.606728,84.844
13.626103,84.844
13.645486,84.844
13.664390,84.844
13.683479,86.258
13.703211,86.258
13.722524,86.258
13.741417,87.672
13.761372,87.672
13.780745,87.672
13.800323,87.672
13.819572,89.086
13.839138,89.086
13.858196,89.086
13.877505,89.086
13.896890,90.500
13.916650,90.500
13.936095,90.500
13.955434,90.500
13.975637,91.914
13.994899,91.914
14.014417,91.914
14.033435,91.914
14.052712,93.328
14.072068,93.328
14.091690,93.328
14.110809,93.328
14.130488,93.328
14.149676,94.742
14.169394,94.742
14.188681,94.742
14.208047,94.742
14.227567,96.156
14.247133,96.156
14.266125,96.156
14.285537,96.156
14.305049,97.570
14.323883,97.570
14.343089,97.570
14.362377,97.570
14.381235,98.984
14.400758,98.984
14.420571,98.984
14.440642,98.984
14.460245,98.984
14.480037,100.398
14.499828,100.398
14.519222,100.398
14.538400,100.398
14.558209,101.812
14.577600,101.812
14.596441,96.156
14.615393,84.844
14.634419,73.531
14.653725,63.633
14.672605,50.906
14.692699,50.906
14.711828,50.906
14.731952,52.320
14.751833,52.320
14.771421,53.734
14.791596,53.734
14.810921,55.148
14.830024,55.148
14.849105,55.148
14.869153,56.562
14.888057,56.562
14.907383,57.977
14.926683,57.977
14.946201,57.977
14.965698,59.391
14.985354,59.391
15.004810,59.391
15.024058,60.805
15.043329,60.805
15.062135,62.219
15.081658,62.219
15.100950,62.219
15.120885,63.633
15.140059,63.633
15.159428,63.633
15.178819,65.047
15.198394,65.047
15.218072,65.047
15.238112,66.461
15.257903,66.461
15.277496,66.461
15.296639,67.875
15.316540,67.875
15.336571,67.875
15.356540,69.289
15.375894,69.289
15.395831,69.289
15.415623,70.703
15.435355,70.703
15.454652,70.703
15.473695,72.117
15.492775,72.117
15.511758,72.117
15.531736,73.531
15.551267,73.531
15.571187,73.531
15.591442,74.945
15.610434,74.945
15.629971,74.945
15.650240,76.359
15.670111,76.359
15.689419,76.359
15.709269,76.359
15.729388,77.773
15.748966,77.773
15.768509,77.773
15.788184,79.188
15.807626,79.188
15.826932,79.188
15.846358,80.602
15.866157,80.602
15.885069,80.602
15.904372,80.602
15.923822,82.016
15.943671,82.016
15.962933,82.016
15.982531,82.016
16.001953,83.430
16.021772,83.430
16.041101,83.430
16.060743,84.844
16.080607,84.844
16.100106,84.844
16.119751,84.844
16.138729,86.258
16.158492,86.258
16.177553,86.258
16.196883,86.258
16.216826,87.672
16.236362,87.672
16.256086,87.672
16.275607,87.672
16.294911,89.086
16.313777,89.086
16.333969,89.086
16.353613,89.086
16.372648,90.500
16.392335,90.500
16.411896,90.500
16.431097,90.500
16.451051,91.914
16.470633,91.914
16.489533,91.914
16.508698,91.914
16.528159,93.328
16.547557,93.328
16.567460,93.328
16.587029,93.328
16.607160,94.742
16.626395,94.742
16.646130,94.742
16.665463,94.742
16.685097,96.156
16.705454,96.156
16.724773,96.156
16.744382,96.156
16.763756,97.570
16.783319,97.570
16.802600,97.570
16.821755,97.570
16.840698,98.984
16.859941,98.984
16.879869,98.984
16.899234,98.984
16.918626,98.984
16.938354,100.398
16.957361,100.398
16.976285,100.398
16.995373,100.398
17.014418,101.812
17.034409,101.812
17.054043,101.812
17.074578,101.812
17.094065,101.812
17.113587,103.227
17.132663,103.227
17.151628,103.227
17.171634,103.227
17.190896,104.641
17.209981,104.641
17.229303,89.086
17.248835,76.359
17.268706,65.047
17.288640,52.320
17.308093,52.320
17.327071,52.320
17.345995,53.734
17.365212,53.734
17.384466,53.734
17.403981,55.148
17.423263,55.148
17.443140,56.562
17.462826,56.562
17.482263,56.562
17.502176,57.977
17.521677,57.977
17.540766,59.391
17.560268,59.391
17.579667,59.391
17.599523,60.805
17.619094,60.805
17.638380,62.219
17.658095,62.219
17.677409,62.219
17.696937,63.633
17.716474,63.633
17.735834,63.633
17.755597,65.047
17.775133,65.047
17.794004,65.047
17.813517,66.461
17.833150,66.461
17.852557,66.461
17.871655,67.875
17.891165,67.875
17.911460,67.875
17.930812,69.289
17.949772,69.289
17.968294,69.289
17.988951,70.703
18.008538,70.703
18.029137,70.703
18.048830,72.117
18.068913,72.117
18.088280,72.117
18.107449,73.531
18.127142,73.531
18.146280,73.531
18.165744,74.945
18.185177,74.945
18.204409,74.945
18.223850,74.945
18.243694,76.359
18.263393,76.359
18.282907,76.359
18.302222,77.773
18.321835,77.773
18.340965,77.773
18.360467,79.188
18.379401,79.188
18.398836,79.188
18.417822,79.188
18.437372,80.602
18.456475,80.602
18.476044,80.602
18.495297,82.016
18.514574,82.016
18.534495,82.016
18.554120,82.016
18.573697,83.430
18.593102,83.430
18.613019,83.430
18.632592,83.430
18.651725,84.844
18.671378,84.844
18.691540,84.844
18.711089,86.258
18.730179,86.258
18.749638,86.258
18.770304,86.258
18.789263,87.672
18.808382,87.672
18.827499,87.672
18.846686,87.672
18.866165,89.086
18.885377,89.086
18.904754,89.086
18.924090,89.086
18.943229,90.500
18.962418,90.500
18.982517,90.500
19.001708,90.500
19.021205,91.914
19.040363,91.914
19.060176,91.914
19.080156,91.914
19.100050,93.328
19.119407,93.328
19.138424,93.328
19.157625,93.328
19.176842,94.742
19.196508,94.742
19.215755,94.742
19.235669,94.742
19.254820,96.156
19.273914,96.156
19.293244,96.156
19.312628,96.156
19.332964,97.570
19.352281,97.570
19.371593,97.570
19.391994,97.570
19.411460,97.570
19.430733,98.984
19.450462,98.984
19.469849,98.984
19.489243,98.984
19.508261,100.398
19.528048,100.398
19.547822,100.398
19.567485,100.398
19.587156,101.812
19.606995,101.812
19.626025,97.570
19.645163,87.672
19.664517,76.359
19.684187,65.047
19.704773,50.906
19.724167,50.906
19.744261,50.906
19.763683,52.320
19.783904,52.320
19.803264,53.734
19.822647,53.734
19.842078,53.734
19.861158,55.148
19.880965,55.148
19.900549,56.562
19.920362,56.562
19.939357,56.562
19.959005,57.977
19.978109,57.977
19.997305,59.391
20.016437,59.391
20.035812,59.391
20.055065,60.805
20.074427,60.805
20.094127,62.219
20.113855,62.219
20.133263,62.219
20.153099,63.633
20.172487,63.633
20.192304,63.633
20.211932,65.047
20.231188,65.047
20.250799,65.047
20.270672,66.461
20.289904,66.461
20.309372,66.461
20.328587,67.875
20.348143,67.875
20.367358,67.875
20.386736,69.289
20.405948,69.289
20.425719,69.289
20.444341,70.703
20.465083,70.703
20.484769,70.703
20.504411,72.117
20.523542,72.117
20.543354,72.117
20.562389,73.531
20.581846,73.531
20.601619,73.531
20.621589,74.945
20.640925,74.945
20.660752,74.945
20.680307,74.945
20.699768,76.359
20.718975,76.359
20.738456,76.359
20.757873,77.773
20.777295,77.773
20.796640,77.773
20.816063,79.188
20.835408,79.188
20.854631,79.188
20.874411,79.188
20.894731,80.602
20.914004,80.602
20.933551,80.602
20.952815,82.016
20.972062,82.016
20.991960,82.016
21.011645,82.016
21.031133,83.430
21.051399,83.430
21.071622,83.430
21.090884,84.844
21.110119,84.844
21.129708,84.844
21.149054,84.844
21.168595,86.258
21.187887,86.258
21.207709,86.258
21.226923,86.258
21.246124,87.672
21.265856,87.672
21.285618,87.672
21.304546,87.672
21.324247,89.086
21.344085,89.086
21.363677,89.086
21.383085,89.086
21.402601,90.500
21.421973,90.500
21.441545,90.500
21.460811,90.500
21.480265,91.914
21.500101,91.914
21.519931,91.914
21.539714,91.914
21.559298,93.328
21.579205,93.328
21.599328,93.328
21.619214,93.328
