time_s,rtt_ms
0.000000,42.700
0.100965,43.400
0.201455,124.000
0.302250,121.000
0.402698,75.300
0.603766,67.900
0.704581,76.000
0.805103,62.100
0.905635,63.600
1.006315,66.700
1.106728,69.600
1.207464,70.300
1.308117,70.700
1.408969,74.600
1.509568,73.000
1.610049,74.200
1.710658,78.500
1.811144,79.100
1.911704,81.000
2.012096,82.500
2.112546,84.700
2.213035,86.300
2.313765,80.200
2.414493,41.600
2.515345,44.600
2.615942,50.300
2.716545,52.400
2.817116,55.000
2.917866,53.500
3.018619,57.800
3.119160,59.000
3.219893,62.300
3.320307,63.400
3.421374,65.500
3.522229,65.700
3.623546,69.500
3.724086,72.000
3.824803,74.500
3.925353,76.600
4.026164,75.900
4.126729,77.800
4.227691,80.200
4.328467,81.500
4.429092,80.500
4.529961,84.100
4.631179,86.000
4.731810,85.700
4.832519,57.500
4.933230,44.300
5.034104,48.900
5.134687,50.000
5.235708,52.900
5.336150,54.500
5.436855,56.600
5.537606,59.900
5.638159,60.600
5.738802,60.400
5.839657,65.400
5.940043,68.200
6.041115,69.000
6.141728,70.800
6.242541,70.700
6.343792,74.300
6.444360,74.900
6.544997,79.000
6.645486,81.000
6.746364,80.900
6.847795,81.600
6.948875,81.600
7.049696,84.700
7.150522,76.000
7.251230,42.100
7.352027,46.800
7.452764,51.300
7.553228,52.300
7.654076,54.800
7.754377,56.200
7.854989,57.200
7.955630,59.200
8.056005,60.700
8.156945,65.200
8.257397,67.200
8.358131,68.100
8.459493,68.400
8.560466,68.400
8.661143,74.400
8.761549,73.200
8.861938,74.800
8.962513,78.300
9.062956,77.900
9.163621,81.400
9.264252,81.100
9.365409,84.200
9.466240,85.100
9.566694,86.600
9.667175,86.800
9.768172,44.000
9.868937,45.400
9.969406,47.100
10.069892,50.400
10.170701,53.300
10.271707,55.100
10.372335,55.700
10.473264,59.900
10.574002,62.300
10.674344,62.800
10.775158,65.700
10.875774,67.500
10.976404,69.600
11.077063,70.700
11.177991,71.600
11.279090,74.200
11.379975,75.300
11.480777,75.000
11.581134,78.300
11.681503,80.000
11.782591,80.700
11.883481,84.400
11.984291,83.500
12.085085,82.000
12.185622,42.400
12.286504,46.500
12.387305,45.500
12.488094,49.300
12.588823,52.900
12.689367,53.800
12.790360,56.800
12.890733,58.600
12.991388,62.100
13.091871,64.100
13.192554,65.400
13.292921,66.400
13.393773,69.300
13.494342,71.000
13.594825,72.800
13.695217,76.000
13.795696,74.600
13.896172,78.300
13.996778,79.400
14.098109,80.600
14.198484,80.900
14.299106,82.500
14.500278,86.600
14.601814,79.000
14.702514,44.300
14.803321,47.600
14.903719,49.300
15.004182,52.600
15.104993,53.200
15.205379,55.100
15.306092,59.300
15.406550,63.100
15.507246,61.400
15.608034,65.300
15.708970,65.600
15.809764,69.000
15.910548,69.600
16.011478,71.300
16.112197,72.200
16.212830,75.300
16.313573,79.000
16.414305,79.100
16.514767,82.800
16.615615,81.900
16.716248,85.700
16.816834,85.200
16.917373,86.600
17.118534,89.000
17.220040,80.300
17.320636,44.500
17.421116,47.700
17.521517,50.400
17.622045,51.900
17.722471,53.700
17.823500,57.500
17.924134,58.800
18.024899,60.900
18.125344,65.000
18.225776,65.500
18.326416,68.000
18.427119,69.000
18.528072,72.300
18.628610,72.900
18.728970,75.000
18.829387,77.100
18.930267,76.600
19.031084,78.500
19.131299,79.600
19.231671,81.400
19.332250,83.700
19.433016,84.700
19.533790,88.000
19.634245,81.600
19.735290,42.100
19.836260,46.100
19.937028,49.800
20.038103,52.700
20.138842,55.400
20.239315,56.600
20.340134,61.500
20.441032,59.900
20.541624,62.500
20.642219,64.500
20.742699,64.100
20.843468,67.700
20.944147,69.100
21.044494,70.500
21.145169,72.200
21.245915,75.800
21.347180,76.000
21.447967,76.900
21.548940,80.100
21.649780,83.500
21.750445,83.800
21.851420,84.000
21.952612,84.800
22.053201,86.200
22.154139,43.000
22.255121,45.800
22.355733,50.200
22.456235,52.000
22.557105,55.400
22.657696,56.700
22.759317,58.800
22.859583,60.200
22.960381,62.200
23.060823,63.500
23.161840,66.700
23.262665,68.300
23.363085,70.800
23.463526,71.700
23.564258,72.500
23.664561,73.900
23.765121,77.200
23.865526,79.100
23.966093,79.300
24.066590,80.000
24.167263,84.800
24.267619,83.300
24.368110,82.700
24.468534,58.200
24.569401,44.200
24.669933,47.000
24.770655,50.400
24.871484,51.200
24.972059,55.000
25.072977,58.300
25.174213,57.900
25.274761,61.900
25.375532,61.200
25.476416,64.900
25.576809,63.300
25.677615,69.000
