time_s,qlen_pkts
0.000000,0
0.015915,0
0.030717,2
0.045846,0
0.060734,2
0.076324,8
0.090846,3
0.105527,9
0.120385,16
0.135536,18
0.150528,19
0.165009,22
0.180235,27
0.194977,30
0.209918,30
0.224224,30
0.238731,30
0.252951,30
0.267669,30
0.282541,30
0.297188,30
0.311443,30
0.325824,30
0.340254,29
0.354948,29
0.370090,30
0.384770,29
0.399716,29
0.415015,30
0.429929,29
0.444183,29
0.458743,29
0.473457,28
0.488022,28
0.502915,30
0.517041,29
0.531819,27
0.546875,27
0.561082,29
0.576034,28
0.590353,27
0.605198,28
0.619881,28
0.633904,26
0.648488,28
0.663102,28
0.677574,29
0.691778,29
0.706641,27
0.721528,27
0.736242,27
0.751422,26
0.765617,24
0.780290,22
0.794576,24
0.808735,22
0.822929,24
0.837448,25
0.852038,25
0.866505,24
0.880684,19
0.895715,19
0.910099,19
0.924323,20
0.938643,20
0.952731,20
0.967170,19
0.981423,19
0.995937,20
1.010232,20
1.025066,21
1.039454,21
1.054029,21
1.068485,21
1.083058,21
1.097435,20
1.112126,21
1.126228,23
1.140712,23
1.155567,23
1.169814,21
1.184064,22
1.198392,23
1.212922,22
1.227311,23
1.241778,23
1.256206,22
1.270490,22
1.284661,22
1.299247,23
1.313429,22
1.328140,23
1.342193,24
1.356461,24
1.370974,22
1.385205,23
1.399924,24
1.414184,23
1.428781,24
1.442922,24
1.457672,25
1.472297,25
1.487008,24
1.501444,24
1.515518,23
1.529475,25
1.544035,26
1.558131,25
1.572666,24
1.587149,25
1.601401,25
1.616004,24
1.630356,26
1.644680,26
1.659180,26
1.673762,26
1.688640,25
1.703328,26
1.718002,27
1.732450,27
1.746793,27
1.760976,26
1.775600,27
1.789993,26
1.804323,25
1.818585,28
1.832799,28
1.847406,28
1.861780,29
1.876303,29
1.890538,26
1.905374,26
1.919889,27
1.934479,27
1.948739,27
1.963897,27
1.978414,28
1.992643,27
2.007015,28
2.021335,28
2.036259,29
2.051461,29
2.065735,28
2.080093,30
2.094256,27
2.108919,27
2.123116,29
2.137579,29
2.151609,29
2.165945,28
2.180995,28
2.195251,28
2.209633,28
2.224219,29
2.238678,30
2.253112,29
2.267676,29
2.282169,30
2.296711,27
2.310986,28
2.325173,28
2.339352,28
2.354175,28
2.369077,28
2.383414,27
2.397811,20
2.412015,14
2.426373,11
2.440630,10
2.455380,12
2.470056,11
2.484454,11
2.498601,11
2.513424,11
2.527724,12
2.542151,14
2.556476,13
2.571516,12
2.586441,12
2.601108,13
2.615279,13
2.629447,15
2.643826,14
2.658291,14
2.672493,14
2.686868,13
2.701205,13
2.715402,13
2.730278,15
2.745208,15
2.759848,14
2.774302,14
2.788599,14
2.802808,15
2.816974,14
2.831515,16
2.846527,16
2.860753,16
2.875388,15
2.889831,15
2.904353,15
2.918903,15
2.933044,18
2.947362,18
2.961735,18
2.976099,16
2.990394,16
3.005098,17
3.019573,17
3.033813,17
3.048118,18
3.062490,18
3.077301,17
3.092240,18
3.106568,18
3.121501,18
3.136066,18
3.150503,18
3.164822,19
3.179933,19
3.194725,18
3.209535,18
3.223964,18
3.238179,19
3.252720,19
3.267042,20
3.281304,19
3.295634,19
3.310531,19
3.325947,20
3.340333,20
3.354721,21
3.369087,20
3.383514,20
3.397672,19
3.411943,21
3.427080,21
3.441213,21
3.455779,21
3.470952,21
3.486151,22
3.501009,22
3.515823,21
3.530817,22
3.545581,22
3.560037,22
3.574837,23
3.589521,21
3.604340,22
3.618758,21
3.633933,24
3.648670,23
3.662826,24
3.677396,23
3.692121,21
3.707280,22
3.721819,23
3.736025,23
3.750349,23
3.764474,23
3.778738,23
3.793082,23
3.807546,23
3.822473,23
3.837019,25
3.851522,25
3.865619,24
3.880077,24
3.894343,25
3.908721,24
3.923145,25
3.937760,26
3.952098,25
3.966494,24
3.981104,25
3.995699,25
4.010604,24
4.024855,24
4.039141,25
4.053539,26
4.068164,26
4.082864,26
4.097990,26
4.112141,25
4.126546,25
4.140827,27
4.155198,27
4.170323,27
4.184636,27
4.198985,25
4.213315,26
4.227430,27
4.241902,27
4.256879,28
4.271691,28
4.286346,27
4.301081,26
4.315564,26
4.330049,26
4.344699,27
4.359132,27
4.373620,28
4.387686,28
4.402248,27
4.417114,28
4.431469,27
4.446215,28
4.461457,29
4.476017,28
4.490491,28
4.505236,27
4.519801,28
4.534084,28
4.549584,29
4.563957,29
4.578275,29
4.593279,29
4.607464,28
4.621958,29
4.636271,28
4.650473,29
4.665197,30
4.679825,29
4.694400,29
4.708370,28
4.722934,28
4.737852,28
4.752509,29
4.767201,30
4.782116,30
4.796309,29
4.811250,28
4.825769,28
4.840581,29
4.855077,28
4.869525,22
4.884138,15
4.898939,11
4.913339,11
4.928029,11
4.942639,13
4.957752,14
4.972371,13
4.987342,12
5.002309,13
5.016683,13
5.031257,13
5.046780,14
5.061262,14
5.076131,13
5.090959,13
5.105787,13
5.120339,13
5.135002,13
5.149675,15
5.164375,15
5.179038,15
5.193480,15
5.207711,15
5.222879,14
5.237544,14
5.251753,16
5.266537,16
5.280838,15
5.295543,15
5.310239,15
5.324667,15
5.339073,15
5.354165,16
5.369147,18
5.383601,17
5.398260,17
5.412615,17
5.427349,17
5.441670,17
5.456049,18
5.470578,17
5.484778,18
5.499288,17
5.513655,17
5.527997,17
5.542374,17
5.557124,19
5.571450,18
5.585848,18
5.600360,18
5.615008,18
5.629542,18
5.644097,18
5.658805,20
5.674409,20
5.689385,18
5.704113,19
5.718701,19
5.733160,19
5.747439,21
5.761631,20
5.776306,21
5.790619,20
5.805041,20
5.820023,19
5.834692,20
5.849555,22
5.863688,21
5.877823,22
5.892800,22
5.907170,21
5.921601,21
5.935443,22
5.950081,24
5.964395,23
5.978672,22
5.993770,23
6.008301,22
6.022914,22
6.037395,22
6.051751,23
6.066184,23
6.080321,24
6.094614,23
6.108823,22
6.124071,22
6.139414,23
6.154709,24
6.168978,23
6.183690,25
6.198881,24
6.213990,23
6.228608,23
6.242889,22
6.258092,24
6.272512,24
6.287157,24
6.301808,24
6.316133,24
6.330675,24
6.344994,22
6.359552,24
6.374081,25
6.388381,25
6.402731,25
6.417153,25
6.431556,24
6.445743,24
6.460422,25
6.474916,25
6.489482,25
6.503947,25
6.518203,25
6.532582,25
6.546964,25
6.561757,27
6.576128,27
6.590232,26
6.604838,26
6.619127,26
6.634602,26
6.650093,27
6.664910,28
6.679296,27
6.693785,26
6.708245,27
6.722505,27
6.736805,26
6.751125,27
6.765673,28
6.779791,27
6.794252,27
6.808831,28
6.823901,27
6.838105,27
6.852494,26
6.866794,29
6.881704,29
6.896648,29
6.911192,29
6.925392,28
6.939785,27
6.954734,27
6.968841,29
6.983687,28
6.998403,29
7.013009,29
7.027449,29
7.041628,30
7.055845,29
7.070318,29
7.085326,28
7.099979,29
7.114210,29
7.128791,29
7.143331,29
7.157931,29
7.172814,28
7.187070,27
7.201659,27
7.216073,25
7.230340,18
7.244817,13
7.259057,12
7.273409,13
7.287851,12
7.302703,11
7.317312,12
7.331712,12
7.346206,12
7.361290,13
7.375874,13
7.390721,12
7.405028,12
7.420155,13
7.435742,14
7.450877,13
7.465460,14
7.480326,14
7.494474,13
7.508834,13
7.523370,13
7.538204,14
7.552466,14
7.566619,15
7.581450,15
7.596055,14
7.610947,14
7.625700,15
7.639887,14
7.654402,15
7.668758,16
7.683090,16
7.697996,17
7.712271,15
7.726871,15
7.741938,15
7.756344,16
7.770948,17
7.785414,17
7.800152,18
7.815199,17
7.829686,17
7.844401,16
7.858489,17
7.873286,19
7.887920,19
7.902111,19
7.916340,18
7.930674,17
7.945601,18
7.959891,18
7.974831,19
7.989564,20
8.004366,20
8.018644,19
8.033322,18
8.047612,19
8.062646,20
8.077173,20
8.091606,19
8.106162,21
8.120345,19
8.134856,20
8.149619,19
8.163797,20
8.178332,22
8.193084,21
8.207606,21
8.221877,19
8.236071,19
8.250436,20
8.265151,21
8.279579,21
8.294515,21
8.308811,21
8.322985,21
8.337240,21
8.352528,21
8.367902,22
8.382482,21
8.396624,22
8.411590,22
8.425784,21
8.441302,21
8.455726,22
8.470722,22
8.485009,23
8.499152,23
8.513572,23
8.527661,23
8.542554,23
8.557487,22
8.572565,23
8.586952,24
8.601262,23
8.615560,23
8.630184,22
8.644903,23
8.659290,23
8.673680,25
8.688751,25
8.703172,24
8.717304,24
8.732069,23
8.746533,23
8.760748,23
8.775593,24
8.789986,24
8.804724,25
8.819490,25
8.833727,25
8.848511,24
8.862849,25
8.877507,27
8.891734,27
8.905976,26
8.920153,26
8.934656,24
8.948988,24
8.963440,26
8.977652,27
8.992244,27
9.006831,27
9.021380,27
9.036026,25
9.050449,26
9.064816,26
9.079396,26
9.093463,26
9.107709,26
9.122709,28
9.137668,27
9.152548,26
9.167232,26
9.182161,27
9.196768,27
9.211117,27
9.226143,27
9.240457,27
9.254989,27
9.269653,27
9.284181,29
9.299020,29
9.313421,29
9.327938,29
9.342204,29
9.356656,27
9.371485,29
9.386487,29
9.400883,29
9.415869,29
9.430560,27
9.445022,28
9.459837,28
9.474336,29
9.488574,29
9.503187,29
9.517519,29
9.532290,29
9.546793,28
9.561514,28
9.576088,29
9.591036,29
9.605537,29
9.620087,29
9.634412,29
9.648502,28
9.662923,29
9.677716,29
9.692238,30
9.706633,28
9.721183,28
9.735319,28
9.749491,26
9.763971,26
9.778672,20
9.792836,18
9.807510,16
9.821976,17
9.836043,13
9.851090,11
9.865573,12
9.880020,13
9.894502,12
9.908909,12
9.923705,12
9.938464,12
9.953263,12
9.967836,12
9.982309,13
9.996840,14
10.011029,13
10.025479,14
10.039836,13
10.054561,13
10.069114,13
10.083609,14
10.097801,16
10.112148,15
10.126646,15
10.140895,14
10.155456,15
10.170418,15
10.185260,16
10.199761,16
10.213894,17
10.228612,16
10.243091,16
10.257711,16
10.271890,16
10.286814,16
10.300930,16
10.315345,17
10.330569,16
10.345061,17
10.359914,16
10.374664,16
10.389374,17
10.403723,18
10.418136,17
10.432892,17
10.447619,18
10.462126,17
10.476637,17
10.490909,18
10.506108,18
10.520443,18
10.535088,19
10.550588,19
10.565782,18
10.580312,19
10.595076,19
10.609240,20
10.623911,19
10.638667,18
10.653874,18
10.668603,19
10.683195,20
10.697568,20
10.712021,20
10.726635,21
10.740727,19
10.755558,19
10.770227,19
10.784741,21
10.799740,21
10.814182,21
10.828946,21
10.843453,20
10.858356,21
10.872783,21
10.888094,22
10.902864,21
10.917524,23
10.932016,22
10.946447,21
10.961398,21
10.975752,21
10.990322,23
11.005274,23
11.019542,24
11.034202,23
11.048612,22
11.063039,22
11.077847,23
11.092774,24
11.107455,24
11.121788,23
11.136725,24
11.151347,24
11.166486,23
11.181216,23
11.195745,24
11.209952,25
11.224427,24
11.239663,23
11.254358,25
11.268890,24
11.283507,25
